country_code,ID,family_importance,friends_importance,leisure_importance,work_importance,freedom,life_satisfaction,financial_satisfaction,religiousity,political_scale,sex,birthyear,age,marital_status,employment
CAN,124075244,1.0,1.0,1.0,1.0,10.0,9.0,9.0,A religious person,5.0,Male,1955.0,65.0,Married,Retired/pensioned
CAN,124075246,1.0,1.0,1.0,1.0,7.0,8.0,8.0,A religious person,6.0,Male,1954.0,66.0,Married,Full time
CAN,124075247,1.0,1.0,2.0,4.0,8.0,10.0,8.0,A religious person,5.0,Male,1946.0,74.0,Married,Retired/pensioned
CAN,124075248,1.0,1.0,2.0,3.0,9.0,8.0,10.0,An atheist,5.0,Female,1971.0,48.0,Divorced,Retired/pensioned
CAN,124075250,2.0,2.0,2.0,1.0,9.0,6.0,6.0,A religious person,5.0,Female,1999.0,21.0,Single,Student
CAN,124075251,1.0,2.0,1.0,4.0,10.0,9.0,9.0,A religious person,5.0,Female,1949.0,71.0,Divorced,Retired/pensioned
CAN,124075253,1.0,1.0,2.0,2.0,9.0,8.0,9.0,A religious person,6.0,Female,1967.0,53.0,Single,Full time
CAN,124075254,1.0,3.0,2.0,1.0,10.0,7.0,3.0,Not a religious person,1.0,Male,1997.0,23.0,Living together as married,Student
CAN,124075257,3.0,1.0,1.0,4.0,5.0,6.0,5.0,Not a religious person,5.0,Male,1993.0,27.0,Single,Unemployed
CAN,124075258,1.0,1.0,1.0,2.0,8.0,7.0,6.0,Not a religious person,4.0,Female,1991.0,28.0,Married,Part time
CAN,124075259,1.0,1.0,1.0,4.0,7.0,9.0,8.0,Not a religious person,6.0,Female,1945.0,74.0,Widowed,Retired/pensioned
CAN,124075260,1.0,1.0,1.0,1.0,9.0,8.0,8.0,Not a religious person,6.0,Female,1960.0,54.0,Married,Full time
CAN,124075261,1.0,1.0,1.0,1.0,10.0,5.0,1.0,Not a religious person,5.0,Female,1984.0,35.0,Single,Homemaker not otherwise employed
CAN,124075262,1.0,1.0,1.0,1.0,8.0,10.0,10.0,A religious person,7.0,Female,1975.0,45.0,Single,Self employed
CAN,124075263,1.0,1.0,1.0,1.0,4.0,5.0,1.0,An atheist,7.0,Male,1973.0,47.0,Married,Unemployed
CAN,124075265,1.0,1.0,1.0,2.0,7.0,6.0,7.0,Not a religious person,5.0,Female,1999.0,21.0,Single,Student
CAN,124075266,1.0,1.0,1.0,1.0,8.0,6.0,5.0,Not a religious person,5.0,Male,1959.0,60.0,Married,Part time
CAN,124075267,1.0,2.0,2.0,4.0,9.0,9.0,7.0,A religious person,6.0,Female,1961.0,59.0,Married,Retired/pensioned
CAN,124075268,4.0,3.0,2.0,4.0,9.0,9.0,9.0,An atheist,1.0,Male,1951.0,69.0,Married,Retired/pensioned
CAN,124075270,1.0,1.0,1.0,4.0,8.0,7.0,7.0,A religious person,6.0,Female,1958.0,62.0,Married,Retired/pensioned
CAN,124075271,1.0,2.0,2.0,2.0,10.0,9.0,5.0,Not a religious person,5.0,Male,1980.0,40.0,Single,Full time
CAN,124075272,1.0,1.0,1.0,1.0,10.0,10.0,10.0,Not a religious person,5.0,Male,1957.0,63.0,Married,Self employed
CAN,124075274,1.0,1.0,1.0,1.0,7.0,7.0,7.0,A religious person,7.0,Female,1985.0,35.0,Married,Homemaker not otherwise employed
CAN,124075275,1.0,2.0,1.0,1.0,7.0,8.0,5.0,A religious person,5.0,Male,1975.0,44.0,Single,Full time
CAN,124075276,1.0,1.0,1.0,2.0,6.0,7.0,8.0,Not a religious person,4.0,Female,1998.0,22.0,Single,Student
CAN,124075277,1.0,1.0,1.0,2.0,10.0,10.0,9.0,An atheist,1.0,Male,1980.0,40.0,Single,Full time
CAN,124075278,1.0,2.0,2.0,2.0,5.0,9.0,10.0,A religious person,9.0,Male,1952.0,67.0,Married,Retired/pensioned
